Ciclo;CRS;Município;Código do IBGE;Ano;Número da armadilha;Ovos;Link;Latitude;Longitude;Resultado;Semana;Lat_lng
Janeiro;;Montes Claros;3143302;2024;501;26;Montes Claros_501;-16,76218;-43,86649;Positiva;3;-16.76218,-43.86649
Janeiro;;Montes Claros;3143302;2024;502;0;Montes Claros_502;-16,76201;-43,86355;Negativa;3;-16.76201,-43.86355
Janeiro;;Montes Claros;3143302;2024;503;40;Montes Claros_503;-16,76247;-43,86056;Positiva;3;-16.76247,-43.86056
Janeiro;;Montes Claros;3143302;2024;504;151;Montes Claros_504;-16,76287;-43,85791;Positiva;3;-16.76287,-43.85791
Janeiro;;Montes Claros;3143302;2024;505;0;Montes Claros_505;-16,76233;-43,85217;Negativa;3;-16.76233,-43.85217
Janeiro;;Montes Claros;3143302;2024;506;0;Montes Claros_506;-16,76147;-43,84859;Negativa;3;-16.76147,-43.84859
Janeiro;;Montes Claros;3143302;2024;507;33;Montes Claros_507;-16,76264;-43,84572;Positiva;3;-16.76264,-43.84572
Janeiro;;Montes Claros;3143302;2024;508;0;Montes Claros_508;-16,76215;-43,84345;Negativa;3;-16.76215,-43.84345
Janeiro;;Montes Claros;3143302;2024;511;4;Montes Claros_511;-16,76504;-43,86957;Positiva;3;-16.76504,-43.86957
Janeiro;;Montes Claros;3143302;2024;512;23;Montes Claros_512;-16,76538;-43,86650;Positiva;3;-16.76538,-43.86650
Janeiro;;Montes Claros;3143302;2024;513;2;Montes Claros_513;-16,76530;-43,86345;Positiva;3;-16.76530,-43.86345
Janeiro;;Montes Claros;3143302;2024;514;7;Montes Claros_514;-16,76512;-43,86060;Positiva;3;-16.76512,-43.86060
Janeiro;;Montes Claros;3143302;2024;515;69;Montes Claros_515;-16,76477;-43,85752;Positiva;3;-16.76477,-43.85752
Janeiro;;Montes Claros;3143302;2024;516;19;Montes Claros_516;-16,76554;-43,85532;Positiva;3;-16.76554,-43.85532
Janeiro;;Montes Claros;3143302;2024;517;15;Montes Claros_517;-16,76601;-43,85064;Positiva;3;-16.76601,-43.85064
Janeiro;;Montes Claros;3143302;2024;518;262;Montes Claros_518;-16,76484;-43,84573;Positiva;3;-16.76484,-43.84573
Janeiro;;Montes Claros;3143302;2024;520;51;Montes Claros_520;-16,76754;-43,87017;Positiva;3;-16.76754,-43.87017
